load_kw,pv_kw,battery_net_injection_kw,battery_soc_kWh,timestamp,converged,voltage_violation,line_overload,transformer_overload,feasible,minimum_voltage_pu,maximum_voltage_pu,maximum_current_a,line_normal_rating_a,line_loading_percent,transformer_apparent_power_kva,transformer_loading_percent,transformer_real_loss_kw,feeder_input_real_power_kw,pcc_grid_net_import_kw,pcc_grid_import_kw,pcc_grid_export_kw,reverse_power_flow,feeder_real_loss_kw,scheduled_grid_import_kw,receiving_end_real_power_kw,grid_import_error_kw
15.0,0.0,0.0,9.999999997957298,2026-08-25 00:00:00-07:00,True,False,False,False,True,0.999200400048337,0.9992004001460235,19.008793166546955,800.0,2.3760991458183693,15.803742605272472,2.107165680702996,0.0033301055014480882,15.003604596058551,15.006934701564928,15.006934701564928,0.0,False,0.00216800656884061,14.999999993455802,15.00143658948971,0.0014365960339084438
15.0,0.0,0.0,9.999999978077987,2026-08-25 00:15:00-07:00,True,False,False,False,True,0.9992004769508822,0.9992004770485688,19.006970607809897,800.0,2.375871325976237,15.80222737110368,2.1069636494804906,0.003329466957371551,15.002167594547752,15.005497061506855,15.005497061506855,0.0,False,0.002167590851582645,14.99999992553952,15.000000003696169,7.815664915256093e-08
15.0,0.0,0.0,9.999999976833546,2026-08-25 00:30:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999996560726,15.00000000000451,3.4437839246947988e-09
15.0,0.0,0.0,9.999999975761082,2026-08-25 00:45:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999997238488,15.00000000000451,2.766022078048991e-09
15.0,0.0,0.0,9.999999972930455,2026-08-25 01:00:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.99999999042477,15.00000000000451,9.579739668197362e-09
15.0,0.0,0.0,9.999999971548403,2026-08-25 01:15:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.9999999960221,15.00000000000451,3.982410845537743e-09
15.0,0.0,0.0,9.999999970666648,2026-08-25 01:30:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999997996586,15.00000000000451,2.0079244933413065e-09
15.0,0.0,0.0,9.999999970039012,2026-08-25 01:45:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999999018195,15.00000000000451,9.863150296496315e-10
15.0,0.0,0.0,9.99999996914267,2026-08-25 02:00:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999997939115,15.00000000000451,2.065394966166423e-09
15.0,0.0,0.0,9.999999968548078,2026-08-25 02:15:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999999152925,15.00000000000451,8.515854688084801e-10
