scenario,interval_count,converged_intervals,minimum_voltage_pu,maximum_current_a,maximum_voltage_pu,peak_grid_import_kw,minimum_grid_power_kw,feeder_loss_energy_kWh,feasible_intervals,voltage_violation_intervals,line_overload_intervals,transformer_overload_intervals,reverse_power_flow_intervals,maximum_line_loading_percent,maximum_transformer_loading_percent,grid_import_energy_kWh,grid_export_energy_kWh,transformer_loss_energy_kWh
no_battery,192,192,0.9981985305895846,38.43112357939741,0.9993319491170861,29.517612030678865,-4.935767697158106,0.14501808410626532,192,0,0,0,8,4.803890447424676,4.260129362192568,743.9601708448135,6.769360055308334,0.2227513723723874
rule_based,192,192,0.9981985305895846,38.43112357939741,0.9992227310694103,29.517612030678865,0.0,0.14478825892408143,192,0,0,0,0,4.803890447424676,4.260129362192568,743.963149061681,0.0,0.22239836089081047
cost_optimal,192,192,0.9981985305895846,38.43112357939741,0.9992227310621049,29.517612033593423,0.0,0.1427217459233753,192,0,0,0,0,4.803890447424676,4.260129362192568,738.127903923459,0.0,0.21922419689761058
carbon_optimal,192,192,0.9981985305895846,38.43112357939741,0.9993118256433091,29.517612064637696,0.0642320041005811,0.14046224246072397,192,0,0,0,0,4.803890447424676,4.260129362192568,740.4634613003509,0.0,0.21575359952477235
combined_optimal,192,192,0.9981985305895846,38.43112357939741,0.9992718118199474,29.517612030316908,0.0,0.1415045285155057,192,0,0,0,0,4.803890447424676,4.260129362192568,738.8023943320757,0.0,0.21735455094366032
