load_kw,pv_kw,battery_net_injection_kw,battery_soc_kWh,timestamp,converged,voltage_violation,line_overload,transformer_overload,feasible,minimum_voltage_pu,maximum_voltage_pu,maximum_current_a,line_normal_rating_a,line_loading_percent,transformer_apparent_power_kva,transformer_loading_percent,transformer_real_loss_kw,feeder_input_real_power_kw,pcc_grid_net_import_kw,pcc_grid_import_kw,pcc_grid_export_kw,reverse_power_flow,feeder_real_loss_kw,scheduled_grid_import_kw,receiving_end_real_power_kw,grid_import_error_kw
15.0,0.0,0.0,9.99999998123247,2026-08-25 00:00:00-07:00,True,False,False,False,True,0.999200400048337,0.9992004001460235,19.008793166546955,800.0,2.3760991458183693,15.803742605272472,2.107165680702996,0.0033301055014480882,15.003604596058551,15.006934701564928,15.006934701564928,0.0,False,0.00216800656884061,14.999999922528836,15.00143658948971,0.0014366669608740779
15.0,0.0,0.0,9.999999966858097,2026-08-25 00:15:00-07:00,True,False,False,False,True,0.9992004769508822,0.9992004770485688,19.006970607809897,800.0,2.375871325976237,15.80222737110368,2.1069636494804906,0.003329466957371551,15.002167594547752,15.005497061506855,15.005497061506855,0.0,False,0.002167590851582645,14.999999939266129,15.000000003696169,6.443003996992047e-08
15.0,0.0,0.0,9.999999940693776,2026-08-25 00:30:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999894380185,15.00000000000451,1.0562432528615773e-07
15.0,0.0,2.083048155368038,9.45182937403376,2026-08-25 00:45:00-07:00,True,False,False,False,True,0.9992468958831654,0.9992468959808436,16.64248088171208,800.0,2.08031011021401,13.836467010596232,1.8448622680794977,0.00255262485527237,12.91861645811642,12.921169082972327,12.921169082972327,0.0,False,0.0016618342826541265,12.916951840391096,12.916954623833766,2.7834426692407988e-06
15.0,0.0,4.999999917165301,8.13603992248926,2026-08-25 01:00:00-07:00,True,False,False,False,True,0.9993118254210387,0.9993118255187052,13.419777367893921,800.0,1.67747217098674,11.157229638915494,1.4876306185220658,0.0016597626786797263,10.001082417369105,10.002742180050106,10.002742180050106,0.0,False,0.001080543812191081,10.000000077738209,10.000001873556913,1.7958187044087026e-06
15.0,0.0,4.999999812166642,6.820250498696667,2026-08-25 01:15:00-07:00,True,False,False,False,True,0.9993118255422541,0.99931182563992,13.41977507551492,800.0,1.677471884439365,11.157227733090194,1.4876303644120257,0.0016597621119663016,10.001080731282816,10.002740493395462,10.002740493395462,0.0,False,0.0010805434448484448,10.000000183251323,10.000000187837967,4.586643953530256e-09
15.0,0.0,0.0,6.820250472559046,2026-08-25 01:30:00-07:00,True,False,False,False,True,0.9992004772378801,0.9992004773355668,19.006963806556424,800.0,2.375870475819553,15.80222171669659,2.1069628955595454,0.0033294645749065237,15.002162232156921,15.005491696734211,15.005491696734211,0.0,False,0.002167589301661792,14.999999894482713,14.99999464285526,-5.25162745290686e-06
15.0,0.0,0.0,6.820250461166907,2026-08-25 01:45:00-07:00,True,False,False,False,True,0.9992004769510807,0.999200477048767,19.006970603107433,800.0,2.375871325388429,15.802227367197034,2.106963648959604,0.003329466955908174,15.002167590844905,15.00549705780062,15.00549705780062,0.0,False,0.002167590856708557,14.999999950645684,14.999999999988196,4.934251229826714e-08
15.0,0.0,0.0,6.820250456973989,2026-08-25 02:00:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999978300776,15.00000000000451,2.170373392118563e-08
15.0,0.0,0.0,6.820250452786834,2026-08-25 02:15:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,14.999999978320965,15.00000000000451,2.1683545625705847e-08
