load_kw,pv_kw,battery_net_injection_kw,battery_soc_kWh,timestamp,converged,voltage_violation,line_overload,transformer_overload,feasible,minimum_voltage_pu,maximum_voltage_pu,maximum_current_a,line_normal_rating_a,line_loading_percent,transformer_apparent_power_kva,transformer_loading_percent,transformer_real_loss_kw,feeder_input_real_power_kw,pcc_grid_net_import_kw,pcc_grid_import_kw,pcc_grid_export_kw,reverse_power_flow,feeder_real_loss_kw,scheduled_grid_import_kw,receiving_end_real_power_kw,grid_import_error_kw
15.0,0.0,0.0,10.000000004251309,2026-08-25 00:00:00-07:00,True,False,False,False,True,0.999200400048337,0.9992004001460235,19.008793166546955,800.0,2.3760991458183693,15.803742605272472,2.107165680702996,0.0033301055014480882,15.003604596058551,15.006934701564928,15.006934701564928,0.0,False,0.00216800656884061,15.000000038255328,15.00143658948971,0.001436551234382577
15.0,0.0,0.0,10.000000001640911,2026-08-25 00:15:00-07:00,True,False,False,False,True,0.9992004769508822,0.9992004770485688,19.006970607809897,800.0,2.375871325976237,15.80222737110368,2.1069636494804906,0.003329466957371551,15.002167594547752,15.005497061506855,15.005497061506855,0.0,False,0.002167590851582645,15.000000007362106,15.000000003696169,-3.6659368873870335e-09
15.0,0.0,0.0,10.000000010242344,2026-08-25 00:30:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.000000058162762,15.00000000000451,-5.815825154797949e-08
15.0,0.0,0.0,10.00000002128407,2026-08-25 00:45:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.000000069222589,15.00000000000451,-6.921807838011773e-08
15.0,0.0,0.0,10.00000002448554,2026-08-25 01:00:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.000000033441491,15.00000000000451,-3.3436981183854186e-08
15.0,0.0,0.0,10.000000032716336,2026-08-25 01:15:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.00000005647486,15.00000000000451,-5.6470350173754014e-08
15.0,0.0,0.0,10.000000045885931,2026-08-25 01:30:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.00000007878904,15.00000000000451,-7.878452912279954e-08
15.0,0.0,0.0,10.000000064253271,2026-08-25 01:45:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.000000101885684,15.00000000000451,-1.0188117371967564e-07
15.0,0.0,0.0,10.00000007515094,2026-08-25 02:00:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.000000068572378,15.00000000000451,-6.856786782805102e-08
15.0,0.0,0.0,10.000000092486143,2026-08-25 02:15:00-07:00,True,False,False,False,True,0.99920047695108,0.9992004770487664,19.00697060312497,800.0,2.375871325390621,15.802227367211108,2.106963648961481,0.0033294669556717055,15.002167590856422,15.005497057813695,15.005497057813695,0.0,False,0.0021675908519109724,15.00000009732651,15.00000000000451,-9.732199934830987e-08
